artifact_id,upgr_desc
0-آثارنا المنهوبة_25_p047_a4daec26,"Human doll, material not specified. A human doll, recorded as lot 7:1-2-15.8×9×0, with dimensions 15.8 × 9 × 0."
0-آثارنا المنهوبة_25_p048_04475953,"Object, material not specified, with recorded dimensions of 17.4, 13.9, 11.8, 11.3, 11.3, 7.5, and 8 cm."
0-آثارنا المنهوبة_25_p049_2f28b0e7,"Coin, metal, old Yemeni coin with an owl bird depicted on one face and what appears to be a human face on the other; dated to about the third century BCE. Weight 4.93 g, diameter 15 mm."
0-آثارنا المنهوبة_25_p050_ee11b378,"Coin, metal. Old Yemeni coin with human face motifs on both sides, one face bearded and the other also bearded. Dated to the second century and the first century BCE. Weight 1.88 g; diameter 11 mm."
0-آثارنا المنهوبة_25_p051_3acdaa81,"Coin, metal, an old Yemeni coin with one face bearing a human face in relief, apparently wearing an earring. Dated to around the middle of the 4th century to the 3rd century BCE. Dimensions: 11 mm; weight: 1.98 g."
0-آثارنا المنهوبة_25_p052_3bf323d0,"Coin, metal. Old Yemeni coin with one face bearing an expression of a human face with clear features, apparently wearing an earring. Dated to around the middle of the 4th century to the 3rd century BCE. Diameter 12 mm."
0-آثارنا المنهوبة_25_p053_809895ce,"Coin, metal. Old Yemeni coin with one face bearing a human face in relief with clear features, apparently wearing an earring. Dated to around the middle of the 4th century to the 3rd century BCE. Diameter 12 mm."
0-آثارنا المنهوبة_25_p054_975a31dd,"Coin, metal. Old Yemeni coin with one face bearing an expression of a human face, with a clear glimpse, apparently wearing an earring. Dated to around the middle of the 4th century and the 3rd century BCE. Diameter: 12 mm."
0-آثارنا المنهوبة_25_p055_7d7995f7,"Bronze plaque, with a prominent inscribed frame and a nine-line inscription in barge-line format, measuring 10.2 × 14.4 cm; the text is recorded as beginning with “1-A-L-A-T-A-T-A-D-Y/Y-A-N-E-N-E-E-R-E-R-E-R-N-E-R-N-E-R-N-E-N-E-N-E-N-A-N-A-T-E-N-E-T-E-N-E-N-E-N-E-N-E-N-E-N-E-N-E-N-N-E-N-N-N-N-N-N-N-N-N-N-N-E-N-N-N-E-N-N-E-N-N-E-N-E-E-N-E-E-E-N-N-E-E-”; dated broadly to the first millennium BCE to the early first millennium CE."
0-آثارنا المنهوبة_25_p056_dc2f7b3e,"Animal statue, material not specified. An animal statue."
0-آثارنا المنهوبة_25_p057_4b2bc103,"Gravestones, marble and stone: a group of gravestones including examples with human heads carved in marble, one bearing an unclear inscription, probably the name of the deceased, together with two additional fragments, one in marble and one in stone."
0-آثارنا المنهوبة_25_p058_9c26a93f,"Human gravestones, marble stone, of different sizes, including a group of gravestones with human heads. Three examples are heavily fragmentary, preserving long, prominent noses, two broken eyes, and a small mouth, with most of their parts lost."
0-آثارنا المنهوبة_25_p059_4de81847,"Gravestone, stone. Human tombstone with a carved face in relief, showing a high nose, long pointed features, blind eyes pierced through the eye area, a light smile, a slightly shorter nose, and two eyebrows."
0-آثارنا المنهوبة_25_p060_d921748e,"Animal statue, bronze, depicting a camel with a high head and two prominent ears, the neck encircled by a collar, a sleeve on the back, and the tail held close to the hind legs; an inscription on the right side appears to be in aristocratic script but is unclear."
0-آثارنا المنهوبة_25_p061_d7091d94,"Animal head, bronze. Head fragment of an animal statue, preserving the right side of the head with a clear view of the face. The eyes are rendered as two prominent rounded forms, with a chin below the mouth. One horn and one ear are broken. Rings around the horn are preserved, characteristic of the horned animal represented."
0-آثارنا المنهوبة_25_p062_6e84de98,"Lot, art, with no further object description or material information provided."
0-آثارنا المنهوبة_25_p063_c1d108c1,"Figurine, limestone, depicting a seated human figure with broken legs, holding an animal-shaped object in both hands above a hole in the base and inserting a fuse into it; described as a sacrificed piece, probably from the 3rd century BC."
0-آثارنا المنهوبة_25_p064_f6ce2f73,"Statue, marble stone, human figure of a man standing on a rectangular two-level base, with both hands broken; the base bears a two-line blade line inscription. Dimensions: 380 x 160 mm. The object is dated to about 300 BCE to 100 BCE."
0-آثارنا المنهوبة_25_p065_816507df,"Gravestones, marble stone, in the form of human heads carved from marble in different colors, with long prominent noses, some broad, two prominent eyes, and small prominent mouths; three examples have inscriptions written in the pavilion line."
0-آثارنا المنهوبة_25_p067_31aa95b1,"Human statue head, white marble, with a long neck encircled by three dark circular lines. The head has clear facial features, including apricot-shaped eyes with drilled holes for the missing pupils, eyebrows marked by horizontal lines, puffed cheeks, a puffed mouth, and prominent ears on both sides."
0-آثارنا المنهوبة_25_p068_2be803ae,Object type and material cannot be determined from the provided text.
0-آثارنا المنهوبة_25_p069_9ad36b3a,"Table, marble stone, round-shaped, with a flat surface and standing on three cylindrical legs; the outer side is vertically marked with lines and shows traces of squid."
0-آثارنا المنهوبة_25_p070_8aeba613,"Bowl, bronze. Bronze bowl decorated with painted and/or incised motifs of three human figures, three palm trees, two plant motifs, and a snake. Dated to around the 4th to 2nd century BCE."
0-آثارنا المنهوبة_25_p071_6a058638,"Saddle, bronze. Sacrificed object composed of an old oil-pouring tub fitted with a fuse holder; the end has a handle terminating at the front half of the oak, marked by the horns at the back, the chin below the mouth, and the feet extending forward."
0-آثارنا المنهوبة_25_p072_9919924b,"Seal, black stone, rare cylindrical form, perforated for suspension, with a carved surface bearing symbols resembling an accelerator; dimensions 0.8 cm wide x 0.25 cm high (2 cm x 0.6 cm); dated to about 3400–3100 BCE."
0-آثارنا المنهوبة_25_p073_ccc96b0e,"Animal statue, bronze, depicting a camel with a high head and two upright ears, a collar around the neck, and a sleeve-like element over the back. Dated to around the 1st century BC to the 1st century AD."
0-آثارنا المنهوبة_25_p075_ed367d40,"Head of a human statue, marble stone, depicting a male head with clear facial features, closed eyes, a long nose, and a small mouth set in a straight horizontal line; the head has a short neck."
0-آثارنا المنهوبة_25_p077_5321dc89,"Stone vessel, marble, conical-shaped with a high crater and a base of larger diameter than the upper opening, without cover, with two knobs at the middle of the body, and showing white-coloured veining in the same stone."
0-آثارنا المنهوبة_25_p078_96776234,"Coins, silver. Old Yemeni coins, one face with an image of an owl and some with Latin letters, the other face likely showing a human face. Dated to around the fourth and third centuries BCE."
0-آثارنا المنهوبة_25_p079_49144713,"Lot, art, material not specified."
0-آثارنا المنهوبة_25_p080_bee8a24e,"Sculptural fragments, marble stone: heads of human statues of different shapes and sizes, including one smashed and freckled, with a hint, together with a torso of a statue."
0-آثارنا المنهوبة_25_p081_07788e5d,"Inscription, bronze, 18 × 13 cm, framed; a bronze engraved inscription with a rusted surface, recorded as al-Silwi 3 and associated with the public confession engravings studied by Ibrahim Al-Silwi 3 (Salawi 3), based on an image shown by the late Khalil Al-Zubairi and published without a photograph in the Daci blog."
0-آثارنا المنهوبة_25_p082_810269e6,"Coin, gold. Muslim Yemeni dinar, attributed to the reign of Ali Bin Mohammed Al-Salehi and described as belonging to the “right state”; found in Zebed. The coin bears an inscription in semi-Kufic script."
0-آثارنا المنهوبة_25_p083_06963053,"Coin, gold, Muslim Yemeni denar, dated to the reign of al-Sal, daughter of Ahmed al-Salehi, with a semi-Kufic inscription; reportedly found in Jabalah."
0-آثارنا المنهوبة_25_p084_712079d1,"Lot, art, dimensions 14.2 × 23.8."
0-آثارنا المنهوبة_25_p085_f13f7dbe,"Hooves, bronze. A group of identical oversized bull hooves in bronze, each larger than normal size and larger than a large cube. Two examples have prominent holes above the cube for installation, and three examples are hollow inside, with holes at the back of the cubes and on the foot base."
0-آثارنا المنهوبة_25_p086_d1991843,"Human statues, marble stone, lot of human statues carved in marble, similar in design, pose, and size, with one larger central statue distinguished by a pigeon held in the hand; the base bears a single-line inscription reading [A/T/R/R]. Dimensions: 10 × 5.5 × 3 × 7.25 × 3.25 × 1.5."
0-آثارنا المنهوبة_25_p087_a80eaa61,"Human statues, marble stone, a group of carved marble figures comprising two seated statues, one standing figure beneath them, a bust, a small horse, and a mural with an ox’s head; dimensions recorded as 7 × 4 × 2.5 and 2.5 × 3 × 0.5."
0-آثارنا المنهوبة_25_p088_83fc102a,"Two human statues and a face, marble stone, comprising two human statues in a sitting position and an empty-eyed human mask with mouth and nose, all in marble stone."
0-آثارنا المنهوبة_25_p093_28b41208,"Human bust, marble stone, depicting a woman with the hands extended forward, hair falling behind the ears, eyes with two recessed pupils, a long nose, and bars; the bust is placed on a separate inscribed base with a three-line inscription."
0-آثارنا المنهوبة_25_p094_3329b4f9,"Tombstone, marble, with a human face carved in relief or incised on the stone, showing a long nose, eyebrows connected to the beard, two pierced and closed eyes, and a very small mouth."
0-آثارنا المنهوبة_25_p095_9ee6e6c7,"Tombstone, marble stone, with a human face in relief or incised depiction showing a broad long rectangular nose, two visible eyes with indicated pupils, a small mouth, and a wide chin; below the face is a two-line inscription. The object is described as a marble tombstone and is dated to about 200 BCE."
0-آثارنا المنهوبة_25_p096_ca1b4fa3,"Head, material not specified. The head of a human statue."
0-آثارنا المنهوبة_25_p097_d944cef5,"Human statue face, marble stone, carved in marble, with clear features; the eyes are blind, long and well connected, the eyebrows are strongly joined, the nostrils are open, the mouth is small, and the chin is broad. Dated to about 200 BC–100 BC."
0-آثارنا المنهوبة_25_p098_049174ca,"Head of a human statue, marble stone, depicting a male head with a clear face, almond-shaped eyes, packed eyebrows, a long broken nose, closed lips, ears on both sides, and a short neck."
0-آثارنا المنهوبة_10_p003_2e6655ff,"Camel statue, marble, standing on a rectangular base, with a pointed sleeve, a neck curved upward to the highest point, and the head emphasized to the front; dated to the 1st–2nd century BCE."
0-آثارنا المنهوبة_10_p007_57cd23fb,"Gold ring, representing a seal, with an elliptical jet intaglio carved with the letters “N” and “D” on the left side and “A” and “M” on the right side; a sunbeam motif is also engraved at the top and bottom of the profile. Made of gold, dated to around the 2nd century AD. Weight 8.74 g."
0-آثارنا المنهوبة_10_p031_29d014fc,"Coin, silver, Dinar of Yemen, issued under Ali Ben Mohammed, dated 439-59/1047-67; weight 2.49 g; recorded as very soft silver."
0-آثارنا المنهوبة_10_p059_d03964ed,"Cup, bronze. Cylindrical cup with an inverted hole, decorated around the body with a four-line engraved inscription. Dated to the 4th–3rd centuries BC. Height 13.1 cm; diameter 7.5 cm."
0-آثارنا المنهوبة_10_p060_a08b7ee7,"Bronze engraved plate, bronze, rectangular in shape, with an inscription arranged in ten lines within a prominent framed border. The object measures 35.8 cm by 33.3 cm. Condition noted as good."
0-آثارنا المنهوبة_10_p061_1748219e,"Lid, bronze. Oval-shaped lid with three feet in the form of lion’s feet; decorated with animal and vegetal motifs and a written inscription, with a single citrus-line border in the form of a tire at the edge."
0-آثارنا المنهوبة_10_p062_e4da8aed,"Horse statue, bronze, depicting a horse standing on four legs with calves at the ends of the limbs; the mouth is open, and a rope is shown on the back, interpreted as indicating a harness for pulling a wagon. Bronze. 4th–3rd centuries BC. Height 12.1 cm; length 13.8 cm."
0-آثارنا المنهوبة_10_p063_7c650d5d,"Bronze human statue in standing position, with the lower extremities scattered and the upper left extremities broken. The chest has a hollow cavity in the form of an inverted triangle, and the waist is encircled by a belt. Dated to the 1st century BC–1st century AD."
0-آثارنا المنهوبة_10_p064_849e91cc,"Head-shaped tombstone, stone: carved in Albister stone, depicting a human head in relief with hair falling from below the ears to the back of the head, triangular eyes, a straight nose, and a small closed mouth."
0-آثارنا المنهوبة_10_p065_20d411b4,"Human statue, marble stone, with clear features, standing on a base; both hands are extended forward and broken, and the lower limbs are set on a cubic-shaped base. The current condition of the piece is very good."
0-آثارنا المنهوبة_10_p066_24a6970b,"Tombstone, stone: carved funerary marker with a human head in relief, from Albister stone. The face is shown with lightly incised eyes, ears on both sides of the head, a straight nose, and a beard indicated below the mouth."
0-آثارنا المنهوبة_10_p067_ac96fcd1,"Statue, bronze. Camel statue with a passenger on its back, showing clear features; the rider is depicted holding a stone. The camel has a straight neck and a forward-facing head, rendered in motion. Dated to the 1st century BC."
0-آثارنا المنهوبة_10_p068_ba9aadb6,"Coin, metal, 4.85 g. Ancient Yemeni coin dated 354–340 BC, showing Greek influence. One face depicts an owl and a combination of two letters; the other face shows a human face with a pammelsand nose on the cheek."
0-آثارنا المنهوبة_10_p069_fbb166c8,"Coin, metal. Ancient Yemeni coin showing Greek influence, with one face depicting an owl and a combination of two letters, and the other face depicting a human face with the nose shown on the cheek. Dated 354–340 BC. Weight 5.52 g."
0-آثارنا المنهوبة_10_p070_89bc8721,"Earring, gold, with an open knot of the same substance and a semi-circular form decorated with embroidered ceramics resembling glass in adjacent lines. Dimensions 2.5 x 2.2 cm. Dated to the 5th to 2nd century BC."
0-آثارنا المنهوبة_10_p071_9aa6662e,"Earring, gold, with an open knot of the same material, semi-circular in shape, decorated with mannequin-shaped elements and a crater carved with adjacent lines. 5th century BC. 2.5 × 2.2 cm."
0-آثارنا المنهوبة_10_p072_6288a421,"Coin, metal, ancient Yemeni issue dated 354–340 BC, weighing 5.08 g. One face shows Greek influence, with an owl motif and a combination of two letters; the other side shows a human face, with a pammelsand nose on the cheek."
0-آثارنا المنهوبة_10_p073_d8fc1a04,"Coin, metal. Ancient Yemeni coin dated 354–340 BC, showing Greek influence. One face depicts an owl and a combination of two letters; the other face shows a human face with a pammelsand nose on the cheek."
0-آثارنا المنهوبة_10_p074_c161f5cf,"Star-shaped stone objects, two crystals of pyrotechnic stone, each mediated by a high-altitude bump with an iron ring for suspension. Islamic period, Qatar. Dimensions: 18 cm and 12 cm."
0-آثارنا المنهوبة_10_p076_234f216d,"Vase, copper. Bowl with a wide nozzle and a condensed base, with the outer body decorated with a book-tape motif and vegetal ornament. Dated to the 14th–15th century, Qatar. Height 27 cm. Very good condition."
0-آثارنا المنهوبة_10_p078_f2f3e7cb,"Coin, metal, possibly silver, Islamic Yemeni currency with Arabic inscription in a surrounding written framework; the inscription reads “Sultan Muzaffar bin Yousif bin Al-Mama'b.” Dated 650 H (1252 CE). Weight 1.82 g. Condition noted as good."
0-آثارنا المنهوبة_10_p079_c497918f,"Coin, metal, possibly silver, Islamic Yemeni currency with an Arabic inscription in a surrounding framework; the text includes “The God of Hila Muhammad ... [The Messenger of Hila].” Dated to the Apostolic period, 1249–1295, weight 1.91 g."
0-آثارنا المنهوبة_10_p080_6756332a,"Cylinder box, wood, cylindrical in shape, with cover, decorated with plant and geometric decorative elements executed in prominent carved relief. 14th century. Height 16.2 cm; diameter 20.3 cm. Very good condition."
0-آثارنا المنهوبة_10_p081_235de0d7,"Coin, metal, possibly silver, Muslim Yemeni, with an Arabic inscription arranged within a four-tier framework; one face bears a legible inscription beginning “In the name of Allah al-Rahman al-Rahim...” and referring to Muhammad as رسول, while the other face is unclear. Dated to 696–721 AH. Weight 1.32 g."
0-آثارنا المنهوبة_10_p082_6e058211,"Coin, metal, possibly silver. Muslim Yemeni coin surrounded by an Arabic written frame with unclear inscription. Apostolic State."
0-آثارنا المنهوبة_10_p083_ac6e1897,"Coin, gold, a Muslim Yemeni two-faced coin dated 718 H, weighing 4.34 g. One face is surrounded by a four-tier Arabic inscription band and has a square frame containing an Arabic inscription reading “There is no god but God, Muhammad is the messenger of God”; the other face bears an Arabic inscription reading “Sultan King in Support [...] David.” The object is described as in excellent condition."
0-آثارنا المنهوبة_10_p095_f45e4544,"Plaque, bronze, engraved with seven lines of text on the surface; rectangular form, measuring 14 × 11 in. (36 × 28 cm); dated to the 1st–2nd century BC."
0-آثارنا المنهوبة_16_p003_a478c1a3,"Head, marble, of a statue of a man, carved in a clear-cut style with two eyes, two eyebrows, and a mouth; dated to the 1st century B.C./1st century A.D. according to the source. The object is described as in good condition. Source attribution in the text mentions Hansokrams (1912–1992), Düsseldorf, Germany."
0-آثارنا المنهوبة_16_p008_0033d68a,"Statue, bronze. Small statue of a figure with the right hand raised to the side of the head, with a band covering the hair. Height 6.7 cm. Condition: good."
0-آثارنا المنهوبة_16_p009_67e0ca1b,"Arm, bronze, female, Arabian, South. Bronze arm with clear-cut five-fingered hand, wearing a bracelet; a line is present at the joint. Condition: good. Dimensions: 1–2 m. 29.5."
0-آثارنا المنهوبة_16_p010_1a66044c,"Statue, bronze, in the form of a camel. The figure is described as surrounding the top of the neck of a rope, with a tranquil inscription along the blade line that is unclear, and the body covered with a full layer of effort. Height 7.5 cm."
0-آثارنا المنهوبة_16_p011_ba9f2252,"Statue, bronze. Crouching figure of an Arabian ibex? with eyes, nose, mouth and chin indicated; the curved horns extend down the neck and are attached to the ears. Bronze. Height 56.0 cm; weight 200 g. Good condition."
0-آثارنا المنهوبة_16_p012_54866ff3,"Statue, bronze, depicting a standing figure with one arm extended forward and the other extended to the side, mounted on a base; the body is covered by a rust layer that obscures details, including an unclear graft line. Dated to 4.2 BC. Height 11.5 cm."
0-آثارنا المنهوبة_16_p014_9c48a41b,"Statue, bronze. Bronze statue of a camel depicted in motion, with a clearly defined body and visible ears; the surface shows a small visible mass and a layer of bronze echoes."
0-آثارنا المنهوبة_5_p001_6d116178,"Statue, bronze, of a standing man in motion, with a clear face, muzzle, hair, wrinkle, and sailor attributes as described in the source text. The object is recorded as missing. It is dated to the second century BCE and attributed to the southern Arabian Peninsula (old Yemen). Dimensions: 13.5 cm long."
0-آثارنا المنهوبة_5_p001_9cc546a5,"Tombstone, marble, fragmentary, with incised inscription and relief decoration; described as a man’s tombstone, preserving part of the deceased’s name with the letter “N” visible in the final line, and featuring a human face motif with prominent eyes, a small mouth, and a strand or line beneath the mouth. Provenance is given as the southern Arabian Peninsula (old Yemen). Length 27.5 cm."
0-آثارنا المنهوبة_5_p002_883e543c,"Statue head, marble: head of a male statue with a long neck, carved in marble; the face has high eyebrows, prominent eyes, a prominent nose, and a small mouth, with hair rendered in a clear, salty tombstone-like treatment."
0-آثارنا المنهوبة_5_p003_5f667732,"Grave marker head, polished marble, in the form of a man’s head with a short neck, defined head, indicated hair, eyebrows, a prominent nose, and closed mouth, decorated with two lizards and two rosettes; from the Horn of the Arabian Peninsula (old Yemen); length 22 cm."
0-آثارنا المنهوبة_5_p003_0a6629b7,"Statue, bronze, depicting two adjoining lizards connected at the tail and shown in motion. The object is almost 10 cm in diameter."
0-آثارنا المنهوبة_5_p004_a120f029,"Palette, stone, with incised and carved decoration, 28 cm high and 23 cm wide, from the southern Arabian Peninsula (old Yemen), dated to the 2nd century AD. The object is described as a palette with drawings, showing sculptural decoration and a three-line inscription on the anthem line reading NFS, NBYR, BAT, BA, B."
0-آثارنا المنهوبة_5_p004_b5ff189c,"Statue head, stone, of a male figure with a clearly modeled face and distinct eyes; carved in stone, from the southern Arabian Peninsula (ancient Yemen), dated to the 3rd century B.C.E., and measuring almost 20 cm in height."
0-آثارنا المنهوبة_5_p005_882c4e9e,"Plaque, marble. Rectangular polished marble plaque with a base of the same stone, bearing five letters: “A click and HBL” and the inscription “Horn A and Miledi - Southern Arabian Peninsula (old Yemen).” Height 36 cm."
0-آثارنا المنهوبة_5_p006_818e1ef4,"Tombstone, marble, cylindrical in shape, with a clear-cut surface, two perforations, and a small incised mouth; described as having a distinctive character in the making of gravestones. Origin: southern Arabian Peninsula (old Yemen). Height 18 cm. Missing."
0-آثارنا المنهوبة_5_p006_95a38b81,"Animal statue, stone. Statue of an animal on a rectangular base of the same material, with large horns visible; described as a “glimpse of big horns wrapped up.” Stone, 32.5 cm high. Dated to the 5th century B.C.E. and attributed to the southern Arabian Peninsula (old Yemen)."
0-آثارنا المنهوبة_5_p007_764a5e88,"Object, bronze. Curved handle ending in an animal body with large horns curved backwards; two hands placed in front of a lumbar area bearing a three-letter inscription. Sacrificed. Dated to the 4th century B.C.E."
0-آثارنا المنهوبة_5_p007_712e95bc,"Tombstone, stone. Rectangular tombstone carved in low relief with a clear-cut discharge, featuring eyes, a prominent nose, and a semi-open mouth; inscribed with three letters reading p.P.R. Late 2000 BCE. Length 45.5 cm."
0-آثارنا المنهوبة_5_p008_3ad06fef,"Tombstone, marble. Rectangular tombstone carved from a marble stone, from the Horn of the Arabian Peninsula (old Yemen). Length 38.2 cm."
0-آثارنا المنهوبة_5_p009_e7a20612,"Sword, polished metal and silver, with a blade of polished metal and a silver hilt or head decorated with silver filaments."
0-آثارنا المنهوبة_5_p009_16162ad0,"Metal artifact, metal, rectangular conglomerate on four legs, with edges decorated with geometric shapes; the sides are covered with a walrus-enveloped decorator and a restaurant with prominent animal head feces, and the inter-lettered emptiness includes various plant decorative elements."
31-آثارنا المنهوبة_31_p002_86aafcec,"Human statue, limestone, depicting two interconnected human figures in a similar salt-like material. The figures have prominent eyes and noses, heads joined by a small cylindrical bridge, and short hands held against the chest."
31-آثارنا المنهوبة_31_p003_29c5ae2a,"Human statue, sandstone, a woman’s bust with a visible head, large eyes inlaid with gypsum and cream stones, high eyebrows with stone inserts, a high sharp nose, full lips, hair arranged in lines and falling behind the neck, and two distinct ears."
31-آثارنا المنهوبة_31_p004_c8d52ea6,"Statue, marble, human figure represented as a woman’s bust with jealous eyes retaining traces of black fixing material, a straight nose, a small mouth, and curly hair falling behind the shoulders."
31-آثارنا المنهوبة_31_p006_56cb6e06,"Human statue, material not specified. A human statue described in the source as “A human statue.”"
31-آثارنا المنهوبة_31_p007_518f511e,"Human statue, bronze, depicting a standing woman with a pronounced pregnant abdomen. The head is upright, with a gang and a clearly defined ellipse wrapped backwards and hanging behind the shoulders. The arms are extended outward and the hands are open. The garment covers the body to mid-thigh. The legs are clearly modelled, with distinct toes. Height: 13.2 cm. Date: toward the 2nd century BC."
31-آثارنا المنهوبة_31_p008_d07d17df,"Human statue, bronze, small flat-shaped figure representing a man in an abstract manner, standing in a long dress with both arms extended forward and holding a stick in the right hand; the figure is connected below to a small stabilization base. First millennium BC. Height: 13.7 cm."
31-آثارنا المنهوبة_31_p009_5d598bbd,"Statuettes, bronze, four votive figurines representing human figures in an abstract manner, with unclear features; three are standing with outstretched, separate arms, and one is seated with the head missing; all are covered with a green layer of bronze corrosion. First millennium BC. Height: 2.2 to 4.2 cm."
31-آثارنا المنهوبة_31_p010_26086da7,"Human statue fragment, bronze, preserving part of a hollow bronze figure: the left torso and shoulder, with a shield and a belt crossing the shoulders and extending to the back. First and second century C.E. Height: 21 cm."
31-آثارنا المنهوبة_31_p011_4c06705e,"Statue, bronze: human statue preserving the bronze palm of the right hand, rendered at natural size with long fingers and covered with a green layer of bronze corrosion. Length: 13 cm."
31-آثارنا المنهوبة_31_p012_36e90747,"Statue, material not specified. Human statue depicting a woman, with a clearly rendered head and well-executed features. The eyes are oval, the eyebrows are arched and raised, the nose is prominent and sharp with a rounded end, and the mouth is represented by a curved line."
31-آثارنا المنهوبة_31_p013_2f2416a9,"Statue head, marble, human figure, carved in stone. The object is described as the head of a statue, with a human form, made of marble."
31-آثارنا المنهوبة_31_p016_f4871bc9,"Human statue, marble. Statue of a man carved in white marble, with a clearly shaped and sharply cut head. The face is described as gloomy, with semi-oval carved eyes, eyebrows above the eyes, a pierced nose, full and relaxed lips, and ears clearly indicated on both sides of the head and pierced. The hairstyle consists of short locks arranged in square and rectangular forms, and the neck is broad."
31-آثارنا المنهوبة_31_p017_aa106c3f,"Human statue, bronze. Head of a bronze statue representing a young man with a clear gaze; the eyes are prominent, the nose is straight, and the mouth has full lips. The hair is arranged in strands ending in forward and side waves, and the head is crowned with a vegetal wreath surmounted by a decorative element."
31-آثارنا المنهوبة_31_p018_b1646d5e,"Animal statue, marble, depicting a standing sheep with a clearly stylized form. The animal has large curved horns with spiral or snail-like terminals, a marked head, eyes not clearly represented, and a mouth indicated by a curved line. The body is cylindrical, and the statue stands on four legs. Dated to the second half of the 1st millennium BCE."
31-آثارنا المنهوبة_31_p019_92190aac,"Animal statue, bronze, depicting a young male deer in a crouching position with the body turned to the right. The head is defined, with prominent ears and short horns. The body is rendered in a fluid manner, and the front legs are missing. The surface is covered with a layer of green bronze corrosion. Dated to the second half of the first millennium BC."
31-آثارنا المنهوبة_31_p021_4561609d,"Tombstone, limestone. Rectangular grave marker with a human face in relief or carved depiction, showing raised eyebrows, rectangular nose, and a white mouth; described as “Jerry’s Stone.” Dated to the first century BCE."
31-آثارنا المنهوبة_31_p022_02bfec92,"Tombstone, limestone. Irregular grave marker carved in limestone, with a sculpted human face. The source text describes it as an irregular, semi-rivaled grave of limestone and notes that the face was sculpted on a human face; no further details are provided."
31-آثارنا المنهوبة_31_p023_42ffe533,"Object, material not specified, with dimensions 3.5 x 25.5."
31-آثارنا المنهوبة_31_p025_a27af77d,"Object type not specified, material not specified. The source text only gives the name “PERRE BERGE & Associes” and does not provide any archaeological or object-specific information."
31-آثارنا المنهوبة_31_p026_d235d123,"Tablet, bronze, with an inscription and window holes distributed on three angles for stabilization. The engraved text records a vow made by a person named Saad El for the Abed, who was tried at Shebhan’s temple, invoking the gods Athtar, uncle, and prophet; the vow was made on his behalf and on behalf of his brother and his son. Dimensions recorded as 31.5 x 26.6 cm."
31-آثارنا المنهوبة_31_p027_10b82af4,"Object type and material cannot be determined from the provided text, which appears to contain only a partial inscription or catalog notation with no descriptive information about the object itself."
31-آثارنا المنهوبة_31_p028_dd1df250,"Rectangular plate of limestone, carved in low relief, depicting men wearing robes with carefully rendered folds; one figure is shown holding a saddle while another sits behind, both with head coverings framing a partial view of the face. The scene is arranged above a pin line and includes two lines of inscription. The source text also mentions marble and refers to the beginning of the Elephants of the Miles."
31-آثارنا المنهوبة_31_p030_267a9cea,"Painting, limestone. A painting made of limestone."
31-آثارنا المنهوبة_31_p031_28432a4b,"Plaque, bronze, rectangular plaque with a portrait composition in relief, showing three heads in frontal view, described as oak or bull heads, each with a prominent sculptural feature and a vegetal element above the head; the central head is framed by an engraved line and accompanied by an inscription of four characters reading “Bronze.”"
